"id_odsp";"id_event";"sort_order";"time";"text";"event_type";"event_type2";"side";"event_team";"opponent";"player";"player2";"player_in";"player_out";"shot_place";"shot_outcome";"is_goal";"location";"bodypart";"assist_method";"situation";"fast_break"
"jPkQ5QDP/";"jPkQ5QDP100";100.0;79.0;"Roland Lamah (Osasuna) is shown the yellow card for a bad foul.";4.0;"NA";1.0;"Osasuna";"Barcelona";"roland lamah";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"t4eBrEy9/";"t4eBrEy938";38.0;30.0;"Attempt missed. Stefano Mauri (Lazio) left footed shot from the right side of the six yard box misses to the right. Assisted by Antonio Candreva with a cross.";1.0;"12";2.0;"Lazio";"Atalanta";"stefano mauri";"antonio candreva";"NA";"NA";"9";"2";0.0;"12";"2";2.0;"1";0.0
"42MLlkbr/";"42MLlkbr50";50.0;40.0;"Attempt blocked. Diego Milito (Inter Milan) right footed shot from the right side of the box is blocked. Assisted by Fredy GuarA­n.";1.0;"12";1.0;"Internazionale";"AS Roma";"diego milito";"fredy guarin";"NA";"NA";"2";"3";0.0;"11";"1";1.0;"1";0.0
"6ko31Ssl/";"6ko31Ssl7";7.0;15.0;"Gianpaolo Bellini (Atalanta) wins a free kick in the defensive half.";8.0;"NA";2.0;"Atalanta";"AC Milan";"gianpaolo bellini";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"pSYG8Pg3/";"pSYG8Pg361";61.0;60.0;"Substitution, FC Nurnberg. Sebastian Polter replaces Tomas Pekhart.";7.0;"NA";2.0;"Nurnberg";"Borussia Monchengladbach";"NA";"NA";"sebastian polter";"tomas pekhart";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"46CxeUG4/";"46CxeUG4102";102.0;89.0;"Foul by Roberto Trashorras (Rayo Vallecano).";3.0;"NA";2.0;"Rayo Vallecano";"Atletico Madrid";"roberto trashorras";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"Wb3m0AT7/";"Wb3m0AT736";36.0;39.0;"Attempt missed. Zlatan Ibrahimovic (Paris Saint Germain) left footed shot from very close range is close, but misses to the left. Assisted by NenAª.";1.0;"12";2.0;"Paris Saint-Germain";"Bastia";"zlatan ibrahimovic";"nene";"NA";"NA";"8";"2";0.0;"13";"2";1.0;"1";0.0
"vN9AEiMg/";"vN9AEiMg104";104.0;87.0;"Stefan Reisinger (Fortuna Dusseldorf) wins a free kick in the defensive half.";8.0;"NA";2.0;"Fortuna Dusseldorf";"SpVgg Greuther Furth";"stefan reisinger";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"juGWf3rT/";"juGWf3rT14";14.0;19.0;"Attempt saved. Abel HernA¡ndez (Palermo) left footed shot from very close range is saved in the centre of the goal. Assisted by Edgar Barreto with a headed pass.";1.0;"12";2.0;"Palermo";"US Pescara";"abel hernandez";"edgar barreto";"NA";"NA";"5";"1";0.0;"13";"2";3.0;"1";0.0
"CbCZ1xUl/";"CbCZ1xUl81";81.0;76.0;"Attempt blocked. CaA±as (Real Betis) right footed shot from outside the box is blocked.";1.0;"NA";2.0;"Real Betis";"Malaga";"canas";"NA";"NA";"NA";"2";"3";0.0;"15";"1";0.0;"1";0.0
